Stadium,City,State,Team,Conference,Capacity,Record1,Surface
Neyland Stadium,Knoxville,TN,Tennessee,SEC,"102,455","109,061",Grass
Nippert Stadium,Cincinnati,OH,Cincinnati,American,"40,000","40,124",UBU Sports Speed M6-M
Notre Dame Stadium,Notre Dame,IN,Notre Dame,Independent,"77,622","80,795",FieldTurf
Ohio Stadium,Columbus,OH,Ohio State,Big Ten,"102,780","110,045",FieldTurf
Pat Dye Field at Jordan–Hare Stadium,Auburn,AL,Auburn,SEC,"87,451","87,451",Grass
Peden Stadium,Athens,OH,Ohio,MAC,"24,000","25,893",FieldTurf
Pratt & Whitney Stadium at Rentschler Field,East Hartford,CT,UConn,Independent,"40,000","42,704",Kentucky Bluegrass
Protective Stadium,Birmingham,AL,UAB,C-USA,"47,100",0,Artificial
Raymond James Stadium,Tampa,FL,South Florida,American,"65,857","71,921",Grass
"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",Fayetteville,AR,Arkansas,SEC,"76,212","82,808",PowerBlade HP
Reser Stadium,Corvallis,OR,Oregon State,Pac-12,"43,154","47,249",FieldTurf
Riccardo Silva Stadium,Miami,FL,FIU,C-USA,"23,500","22,682",FieldTurf
Rice Stadium,Houston,TX,Rice,C-USA,"47,000","73,000",AstroTurf 3D60H Synthetic Turf
Rice–Eccles Stadium,Salt Lake City,UT,Utah,Pac-12,"47,825","46,768",FieldTurf CoolPlay
Rose Bowl Stadium,Pasadena,CA,UCLA,Pac-12,"90,888","106,869",Grass
Ross–Ade Stadium,West Lafayette,IN,Purdue,Big Ten,"57,236","71,629",Grass
Ryan Field,Evanston,IL,Northwestern,Big Ten,"47,130","55,752",Grass
Rynearson Stadium,Ypsilanti,MI,Eastern Michigan,MAC,"30,200","26,188",FieldTurf
Sanford Stadium,Athens,GA,Georgia,SEC,"92,746","93,246",Grass
Scheumann Stadium,Muncie,IN,Ball State,MAC,"22,500","23,861",FieldTurf
SHI Stadium,Piscataway,NJ,Rutgers,Big Ten,"52,454","53,774",FieldTurf
Skelly Field at H.A. Chapman Stadium,Tulsa,OK,Tulsa,American,"30,000","47,350",FieldTurf
Sonny Lubick Field at Canvas Stadium,Fort Collins,CO,Colorado State,Mountain West,"41,200","41,000",Shaw Sports Artificial Turf
Spartan Stadium,East Lansing,MI,Michigan State,Big Ten,"75,005","80,401",Grass
Stanford Stadium,Stanford,CA,Stanford,Pac-12,"50,424","51,607",Grass
Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,Gainesville,FL,Florida,SEC,"88,548","90,916",Grass
Sun Bowl Stadium,El Paso,TX,UTEP,C-USA,"51,500","53,415",FieldTurf
Huntington Bank Stadium,Minneapolis,MN,Minnesota,Big Ten,"50,805","54,147",FieldTurf
Tiger Stadium,Baton Rouge,LA,LSU,SEC,"102,321","102,321",Grass
Truist Field,Winston-Salem,NC,Wake Forest,ACC,"31,500","37,623",FieldTurf
UB Stadium,Amherst,NY,Buffalo,MAC,"29,013","29,795",A-Turf Titan
Vanderbilt Stadium,Nashville,TN,Vanderbilt,SEC,"40,350","41,448",Shaw Sports Legion 46
Vaught–Hemingway Stadium at Hollingsworth Field,Oxford,MS,Mississippi,SEC,"64,038","66,176",Grass
Veterans Memorial Stadium at Larry Blakeney Field,Troy,AL,Troy,Sun Belt,"30,402","29,013",ProGrass
Waldo Stadium,Kalamazoo,MI,Western Michigan,MAC,"30,200","36,361",FieldTurf
Warren McGuirk Alumni Stadium,Hadley,MA,UMass,Independent,21430,"20,000",FieldTurf
Wayne Day Family Field at Carter–Finley Stadium,Raleigh,NC,NC State,ACC,"57,583","57,583",Tifway 419 Bermuda Grass
Williams-Brice Stadium,Columbia,SC,South Carolina,SEC,"77,559","85,199",Grass
